method,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,0.411406,0.006509,0.415398,0.000306,0.367286,0.006572,0.186272,0.000269,0.134858,0.000542,0.145287,0.000155,0.148613,0.000161,0.059778,4.3e-05,0.214019,9.1e-05,0.099358,0.0,0.08732,0.0,0.054273,0.000113,0.090683,0.000107,0.067251,9.4e-05,0.059634,5.2e-05,0.286636,0.000229,0.451323,0.006133,10
task_count_selection,0.444531,0.007035,0.44038,0.000244,0.408946,0.007121,0.23403,0.000337,0.170739,0.000392,0.133859,0.000154,0.140549,0.000174,0.057393,0.000103,0.203478,8.4e-05,0.130546,0.0,0.106361,0.0,0.053173,7.4e-05,0.087227,0.000109,0.065668,8.2e-05,0.056905,5.6e-05,0.267967,0.000265,0.411967,0.006348,10
embodiment_count_selection,0.470208,0.005541,0.465344,0.000244,0.444038,0.005535,0.280607,0.000341,0.196947,0.000598,0.121814,0.000144,0.134847,0.000144,0.05218,0.000111,0.196602,9.4e-05,0.150298,0.0,0.113637,0.0,0.052507,8.4e-05,0.073788,0.000118,0.064133,9.4e-05,0.053105,5.3e-05,0.249039,0.000183,0.380148,0.005702,10
random_balanced_selection,0.470521,0.006616,0.470039,0.000161,0.453273,0.006598,0.31686,0.000297,0.239395,0.000327,0.111596,0.00012,0.126441,0.000105,0.052091,0.000101,0.173471,0.000104,0.170454,0.0,0.130938,0.0,0.049366,9.2e-05,0.077191,9.2e-05,0.059291,0.000115,0.050814,3.3e-05,0.232473,0.000154,0.371575,0.007443,10
embedding_diversity_selection,0.500417,0.006244,0.502787,0.000184,0.495673,0.006275,0.380522,0.000271,0.283021,0.000212,0.097741,0.000165,0.118123,0.000169,0.049453,9.9e-05,0.15792,0.000105,0.20447,0.0,0.141659,0.0,0.048274,0.000117,0.0722,9.5e-05,0.057613,8e-05,0.04729,7e-05,0.21106,0.000276,0.334095,0.0084,10
uncertainty_sampling,0.523333,0.006881,0.517953,0.000222,0.528842,0.006911,0.411528,0.00026,0.342196,0.000319,0.082889,6.8e-05,0.096995,0.000102,0.044846,8.5e-05,0.164362,0.000112,0.234111,0.0,0.16102,0.0,0.04725,0.000124,0.069513,0.000101,0.055886,0.000108,0.044417,5.7e-05,0.178058,0.000108,0.304994,0.006603,10
failure_prediction_selection,0.539896,0.004517,0.543659,0.000256,0.562723,0.004418,0.477627,0.000251,0.415653,0.000338,0.065093,0.000171,0.080595,0.000121,0.041173,0.000137,0.158138,6.7e-05,0.249739,0.0,0.170005,0.0,0.045812,0.000115,0.064696,0.000114,0.05401,0.000105,0.040155,9.5e-05,0.146126,0.000222,0.276157,0.005583,10
value_of_information_active_selection,0.543906,0.005256,0.548462,0.000175,0.565808,0.005201,0.482056,0.000202,0.411575,0.000447,0.063973,0.000149,0.082804,0.000112,0.040931,6.9e-05,0.15333,0.000122,0.262446,0.0,0.181366,0.0,0.044794,9.7e-05,0.063878,8.4e-05,0.052442,0.000101,0.039967,4.9e-05,0.146541,0.000187,0.274033,0.005888,10
dataset_card_compliance_selection,0.514115,0.004981,0.520022,0.000162,0.522873,0.004966,0.418729,0.000255,0.32179,0.000341,0.076848,0.000151,0.102789,0.000168,0.040383,0.00011,0.15082,0.000152,0.220442,0.0,0.146301,0.0,0.039459,7.8e-05,0.058913,8.3e-05,0.041528,8.1e-05,0.042339,6.3e-05,0.174131,0.000232,0.309223,0.005949,10
safety_event_mining_selection,0.551927,0.008843,0.551725,0.000315,0.580898,0.008745,0.484182,0.00032,0.451613,0.000402,0.055338,0.000191,0.064485,0.000112,0.037402,6.6e-05,0.161388,8.6e-05,0.256177,0.0,0.177122,0.0,0.044134,0.000135,0.061085,0.00011,0.050989,6.5e-05,0.037009,0.000113,0.122403,0.000187,0.260403,0.010707,10
label_quality_first_selection,0.52849,0.005854,0.530262,0.000248,0.539901,0.00585,0.417471,0.000211,0.332959,0.000277,0.066678,0.000168,0.099414,0.000152,0.039126,9.5e-05,0.149743,0.000151,0.230471,0.0,0.140899,0.0,0.033632,9.6e-05,0.061476,9.7e-05,0.03603,0.000134,0.039829,6.9e-05,0.160801,0.000239,0.296473,0.00504,10
domain_mix_robust_selection,0.55776,0.004944,0.554384,0.000163,0.58378,0.00487,0.498912,0.00027,0.405751,0.000292,0.06114,8.4e-05,0.086845,0.000184,0.03942,9.6e-05,0.148791,0.000124,0.243553,0.0,0.16258,0.0,0.043287,0.000103,0.053177,7.9e-05,0.049238,8.3e-05,0.034818,5.2e-05,0.145984,0.000171,0.258629,0.00559,10
causal_feature_coverage_selection,0.5725,0.005995,0.569666,0.000169,0.609584,0.005815,0.542545,0.000326,0.443472,0.000505,0.0495,0.000141,0.078652,0.000182,0.037183,8.4e-05,0.141539,9.4e-05,0.244743,0.0,0.163811,0.0,0.041593,9e-05,0.053684,7e-05,0.047083,7.1e-05,0.034957,6.2e-05,0.12708,0.000192,0.235878,0.005808,10
proposed_mechanism_coverage_audit_v4,0.58526,0.007668,0.593761,0.000242,0.637804,0.007578,0.596248,0.000283,0.496124,0.000355,0.036434,8.9e-05,0.068101,0.000108,0.034769,0.000109,0.123862,6.5e-05,0.231206,0.0,0.151303,0.0,0.040958,0.000101,0.052338,7.7e-05,0.045887,0.000118,0.033343,6.6e-05,0.104893,0.000104,0.213375,0.007505,10
mechanism_coverage_gap_audit_v5,0.650625,0.008141,0.647124,0.000239,0.727437,0.007822,0.684531,0.000356,0.568404,0.000212,0.010552,0.000142,0.051703,0.000108,0.027951,0.000111,0.100675,0.000126,0.192532,0.0,0.122865,0.0,0.034721,9.8e-05,0.04216,9.4e-05,0.036044,7.1e-05,0.027393,4.4e-05,0.063305,0.000195,0.144548,0.004361,10
oracle_mechanism_labeled_selector,0.729427,0.004747,0.72977,0.000255,0.813379,0.003846,0.735527,0.000428,0.616567,0.000447,0.000234,2.9e-05,0.039349,0.000145,0.023159,8.4e-05,0.085872,8.1e-05,0.183859,0.0,0.116196,0.0,0.031182,0.000107,0.035789,8.4e-05,0.030358,0.000131,0.023957,6.7e-05,0.041325,0.000127,0.0,0.0,10
