method,split,seed,success,success_ci95,mechanism_recall,mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_failure,tail_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
trajectory_count_selection,nominal,0,0.5068,0.0268,0.2331,0.004,0.1186,0.0125,0.1235,0.01,0.2124,0.0013,0.0973,0.0,0.26,0.0027,35,0.2537
trajectory_count_selection,nominal,1,0.5197,0.0194,0.2349,0.0031,0.1181,0.012,0.1247,0.0097,0.2135,0.0013,0.0973,0.0,0.2564,0.0032,35,0.2354
trajectory_count_selection,nominal,2,0.5007,0.0215,0.2287,0.0036,0.1169,0.0123,0.125,0.0097,0.2126,0.0012,0.0973,0.0,0.2571,0.0026,35,0.2374
trajectory_count_selection,nominal,3,0.5143,0.023,0.2297,0.0034,0.1189,0.0124,0.1242,0.01,0.2121,0.0013,0.0973,0.0,0.2551,0.0024,35,0.2398
trajectory_count_selection,nominal,4,0.5156,0.0203,0.2303,0.0034,0.1192,0.012,0.1254,0.0098,0.213,0.0013,0.0973,0.0,0.2586,0.0033,35,0.2245
trajectory_count_selection,nominal,5,0.5143,0.0224,0.2329,0.0035,0.1187,0.012,0.1248,0.0101,0.2132,0.0014,0.0973,0.0,0.2584,0.0025,35,0.2357
trajectory_count_selection,nominal,6,0.484,0.0223,0.2329,0.0032,0.1154,0.0123,0.1246,0.0097,0.2124,0.0014,0.0973,0.0,0.2593,0.0024,35,0.2575
trajectory_count_selection,seen_task_shift,0,0.4728,0.0193,0.2199,0.0031,0.1357,0.0154,0.1458,0.0124,0.2191,0.0014,0.1057,0.0,0.2468,0.0025,35,0.2412
trajectory_count_selection,seen_task_shift,1,0.4595,0.0236,0.2222,0.0036,0.1354,0.0153,0.1479,0.0123,0.2198,0.0012,0.1057,0.0,0.2494,0.0028,35,0.2653
trajectory_count_selection,seen_task_shift,2,0.4816,0.0283,0.2187,0.0039,0.134,0.0144,0.145,0.0123,0.2197,0.0014,0.1057,0.0,0.2474,0.003,35,0.2483
trajectory_count_selection,seen_task_shift,3,0.4663,0.0219,0.2209,0.0041,0.1341,0.0149,0.1444,0.0127,0.2183,0.0011,0.1057,0.0,0.2435,0.0028,35,0.2469
trajectory_count_selection,seen_task_shift,4,0.4548,0.0245,0.2206,0.0035,0.135,0.0149,0.1467,0.0122,0.2205,0.0017,0.1057,0.0,0.2493,0.0024,35,0.2588
trajectory_count_selection,seen_task_shift,5,0.4673,0.022,0.2214,0.0035,0.1358,0.0142,0.147,0.0124,0.2192,0.0011,0.1057,0.0,0.2455,0.0029,35,0.2524
trajectory_count_selection,seen_task_shift,6,0.4711,0.0207,0.2207,0.0035,0.1349,0.0152,0.146,0.0121,0.22,0.0015,0.1057,0.0,0.2477,0.0027,35,0.2463
trajectory_count_selection,unseen_object_shift,0,0.4503,0.0242,0.2144,0.0035,0.1518,0.0179,0.1542,0.0135,0.2231,0.0012,0.1108,0.0,0.2401,0.0026,35,0.2663
trajectory_count_selection,unseen_object_shift,1,0.4503,0.0245,0.2145,0.0029,0.1513,0.0179,0.153,0.0133,0.2224,0.0012,0.1108,0.0,0.2391,0.0021,35,0.2595
trajectory_count_selection,unseen_object_shift,2,0.4262,0.0244,0.2137,0.0026,0.1508,0.0177,0.1536,0.0138,0.2237,0.0011,0.1108,0.0,0.2403,0.0028,35,0.2493
trajectory_count_selection,unseen_object_shift,3,0.4405,0.0304,0.2139,0.003,0.1522,0.0179,0.1553,0.0135,0.2243,0.0013,0.1108,0.0,0.2422,0.0027,35,0.2622
trajectory_count_selection,unseen_object_shift,4,0.4388,0.0251,0.2162,0.0035,0.1504,0.0181,0.1543,0.0135,0.2237,0.0013,0.1108,0.0,0.2388,0.0031,35,0.2697
trajectory_count_selection,unseen_object_shift,5,0.4316,0.023,0.2141,0.0032,0.1524,0.018,0.155,0.0139,0.2217,0.0014,0.1108,0.0,0.2404,0.0032,35,0.2701
trajectory_count_selection,unseen_object_shift,6,0.4327,0.0243,0.215,0.0035,0.1524,0.0179,0.1546,0.0135,0.223,0.0013,0.1108,0.0,0.2418,0.0025,35,0.248
trajectory_count_selection,unseen_mechanism_shift,0,0.4167,0.0256,0.1879,0.0033,0.1769,0.0212,0.1643,0.0145,0.2262,0.0013,0.1146,0.0,0.2335,0.0024,35,0.2888
trajectory_count_selection,unseen_mechanism_shift,1,0.4139,0.0207,0.1892,0.0036,0.1755,0.0212,0.1648,0.0146,0.2265,0.0013,0.1146,0.0,0.2364,0.0026,35,0.2844
trajectory_count_selection,unseen_mechanism_shift,2,0.4296,0.0257,0.185,0.0033,0.1774,0.0213,0.1654,0.015,0.2263,0.0014,0.1146,0.0,0.2362,0.0026,35,0.2476
trajectory_count_selection,unseen_mechanism_shift,3,0.4207,0.0264,0.1908,0.0026,0.1781,0.0208,0.164,0.0149,0.227,0.0013,0.1146,0.0,0.2337,0.0025,35,0.2582
trajectory_count_selection,unseen_mechanism_shift,4,0.4105,0.03,0.1871,0.0026,0.1784,0.0207,0.1651,0.0144,0.2243,0.0015,0.1146,0.0,0.2348,0.0026,35,0.2871
trajectory_count_selection,unseen_mechanism_shift,5,0.4116,0.0203,0.1874,0.0033,0.1781,0.0212,0.1668,0.0149,0.226,0.0014,0.1146,0.0,0.2356,0.0029,35,0.2663
trajectory_count_selection,unseen_mechanism_shift,6,0.4017,0.0276,0.1862,0.0035,0.1764,0.0211,0.1636,0.0155,0.2254,0.0013,0.1146,0.0,0.2349,0.0031,35,0.283
trajectory_count_selection,combined_stress,0,0.3871,0.0254,0.1875,0.0032,0.184,0.0223,0.1833,0.0169,0.2324,0.0013,0.1217,0.0,0.2288,0.0034,35,0.2663
trajectory_count_selection,combined_stress,1,0.3765,0.0271,0.1883,0.0033,0.1834,0.0229,0.1823,0.0164,0.2307,0.0015,0.1217,0.0,0.2272,0.002,35,0.2922
trajectory_count_selection,combined_stress,2,0.3793,0.0256,0.1887,0.0033,0.1842,0.0225,0.1814,0.0169,0.2309,0.0012,0.1217,0.0,0.2275,0.0024,35,0.2813
trajectory_count_selection,combined_stress,3,0.3949,0.0279,0.1861,0.0037,0.1846,0.0229,0.1817,0.0165,0.2326,0.0015,0.1217,0.0,0.2264,0.0023,35,0.2796
trajectory_count_selection,combined_stress,4,0.3759,0.0277,0.1863,0.0031,0.184,0.0222,0.1819,0.0168,0.2316,0.0012,0.1217,0.0,0.2269,0.0026,35,0.2939
trajectory_count_selection,combined_stress,5,0.3752,0.0293,0.185,0.0032,0.1842,0.0228,0.1819,0.0168,0.2325,0.0012,0.1217,0.0,0.2241,0.0024,35,0.298
trajectory_count_selection,combined_stress,6,0.3704,0.0317,0.1882,0.0036,0.1854,0.0224,0.1816,0.017,0.2329,0.0013,0.1217,0.0,0.226,0.0025,35,0.2874
task_count_selection,nominal,0,0.5398,0.0183,0.2846,0.0036,0.1081,0.0113,0.118,0.0086,0.2042,0.0011,0.1311,0.0,0.3075,0.003,35,0.2207
task_count_selection,nominal,1,0.5306,0.0183,0.2863,0.0033,0.1092,0.011,0.1189,0.009,0.2051,0.0013,0.1311,0.0,0.3095,0.0025,35,0.2245
task_count_selection,nominal,2,0.5442,0.0221,0.284,0.0036,0.11,0.011,0.1182,0.0093,0.2044,0.0011,0.1311,0.0,0.3096,0.0023,35,0.1939
task_count_selection,nominal,3,0.5129,0.0174,0.2813,0.0033,0.1095,0.0109,0.1203,0.0089,0.2037,0.0014,0.1311,0.0,0.3101,0.0026,35,0.2412
task_count_selection,nominal,4,0.533,0.0247,0.2812,0.0039,0.1075,0.0115,0.1183,0.0093,0.2044,0.0012,0.1311,0.0,0.3056,0.0029,35,0.2071
task_count_selection,nominal,5,0.5248,0.0205,0.2857,0.0028,0.1082,0.0113,0.1186,0.0094,0.2041,0.0012,0.1311,0.0,0.3096,0.0026,35,0.2252
task_count_selection,nominal,6,0.5197,0.0146,0.2864,0.0029,0.1083,0.0112,0.119,0.0094,0.2038,0.0012,0.1311,0.0,0.3084,0.0029,35,0.2218
task_count_selection,seen_task_shift,0,0.4837,0.0268,0.2734,0.0035,0.1246,0.0136,0.1378,0.0116,0.2103,0.0013,0.1395,0.0,0.3002,0.0027,35,0.2303
task_count_selection,seen_task_shift,1,0.5024,0.0221,0.273,0.0036,0.1256,0.0136,0.1379,0.0119,0.2099,0.0011,0.1395,0.0,0.3004,0.0024,35,0.2224
task_count_selection,seen_task_shift,2,0.4786,0.0219,0.2742,0.0031,0.1246,0.0135,0.1377,0.0118,0.2093,0.0009,0.1395,0.0,0.2991,0.0022,35,0.2514
task_count_selection,seen_task_shift,3,0.4976,0.0241,0.2767,0.004,0.1256,0.0136,0.1395,0.0114,0.2094,0.0012,0.1395,0.0,0.2975,0.0023,35,0.2156
task_count_selection,seen_task_shift,4,0.484,0.0215,0.2758,0.0032,0.1253,0.0137,0.1383,0.0115,0.2109,0.0013,0.1395,0.0,0.2982,0.0034,35,0.2296
task_count_selection,seen_task_shift,5,0.4969,0.0217,0.2705,0.0029,0.1245,0.0133,0.1383,0.0116,0.2105,0.001,0.1395,0.0,0.299,0.0027,35,0.2228
task_count_selection,seen_task_shift,6,0.4939,0.0227,0.2733,0.003,0.1241,0.0138,0.1395,0.0114,0.2105,0.0015,0.1395,0.0,0.2996,0.0028,35,0.2235
task_count_selection,unseen_object_shift,0,0.4612,0.0237,0.262,0.0025,0.1383,0.0164,0.1469,0.0123,0.214,0.0015,0.1446,0.0,0.2909,0.0022,35,0.2554
task_count_selection,unseen_object_shift,1,0.4714,0.023,0.2639,0.0037,0.1377,0.0165,0.1479,0.0125,0.214,0.0014,0.1446,0.0,0.2927,0.002,35,0.2384
task_count_selection,unseen_object_shift,2,0.4616,0.0273,0.2668,0.004,0.1378,0.0164,0.1471,0.0125,0.2139,0.0013,0.1446,0.0,0.2922,0.0028,35,0.2139
task_count_selection,unseen_object_shift,3,0.4656,0.0229,0.2671,0.0032,0.1387,0.0162,0.1458,0.0119,0.2144,0.0013,0.1446,0.0,0.2909,0.0026,35,0.2371
task_count_selection,unseen_object_shift,4,0.4687,0.0225,0.2652,0.0039,0.1388,0.0163,0.1464,0.0126,0.2142,0.0012,0.1446,0.0,0.2898,0.0025,35,0.2398
task_count_selection,unseen_object_shift,5,0.469,0.0218,0.2674,0.0032,0.1399,0.0171,0.1482,0.0123,0.2144,0.0011,0.1446,0.0,0.2929,0.0028,35,0.2327
task_count_selection,unseen_object_shift,6,0.4881,0.0259,0.2645,0.003,0.1393,0.0171,0.1467,0.0121,0.2146,0.0011,0.1446,0.0,0.2906,0.0031,35,0.1925
task_count_selection,unseen_mechanism_shift,0,0.419,0.0237,0.2407,0.0036,0.1609,0.0196,0.1544,0.0139,0.2185,0.0012,0.1484,0.0,0.2862,0.0026,35,0.2864
task_count_selection,unseen_mechanism_shift,1,0.4293,0.0231,0.2387,0.0036,0.1629,0.0192,0.1568,0.0135,0.2179,0.0012,0.1484,0.0,0.287,0.0026,35,0.269
task_count_selection,unseen_mechanism_shift,2,0.451,0.0269,0.2454,0.0038,0.1626,0.0195,0.1561,0.0139,0.2175,0.0013,0.1484,0.0,0.286,0.0023,35,0.2262
task_count_selection,unseen_mechanism_shift,3,0.4194,0.022,0.2389,0.0034,0.1619,0.019,0.1562,0.0132,0.2161,0.0013,0.1484,0.0,0.2853,0.003,35,0.2595
task_count_selection,unseen_mechanism_shift,4,0.4354,0.0238,0.2418,0.003,0.1623,0.0193,0.1565,0.0143,0.2178,0.0014,0.1484,0.0,0.2861,0.0029,35,0.2622
task_count_selection,unseen_mechanism_shift,5,0.4327,0.022,0.2409,0.0027,0.1617,0.0192,0.1567,0.0138,0.2163,0.0013,0.1484,0.0,0.2873,0.0025,35,0.2452
task_count_selection,unseen_mechanism_shift,6,0.4405,0.0229,0.2403,0.003,0.1628,0.0189,0.1545,0.0133,0.217,0.0012,0.1484,0.0,0.29,0.0026,35,0.2442
task_count_selection,combined_stress,0,0.4119,0.0264,0.2405,0.0028,0.1692,0.021,0.1725,0.0146,0.224,0.0014,0.1555,0.0,0.2776,0.0023,35,0.2415
task_count_selection,combined_stress,1,0.418,0.0297,0.2383,0.0027,0.17,0.021,0.1719,0.0156,0.2218,0.0015,0.1555,0.0,0.2774,0.0026,35,0.2507
task_count_selection,combined_stress,2,0.4116,0.025,0.2398,0.0036,0.1687,0.0208,0.1711,0.0155,0.223,0.0014,0.1555,0.0,0.2776,0.0028,35,0.249
task_count_selection,combined_stress,3,0.4078,0.0238,0.2359,0.003,0.1694,0.0203,0.1711,0.0153,0.2233,0.0012,0.1555,0.0,0.2799,0.0025,35,0.2667
task_count_selection,combined_stress,4,0.4119,0.0304,0.2365,0.0036,0.1681,0.0205,0.1724,0.0155,0.2231,0.0013,0.1555,0.0,0.28,0.0023,35,0.2578
task_count_selection,combined_stress,5,0.4061,0.0228,0.2377,0.0035,0.1687,0.0202,0.1708,0.015,0.2235,0.0011,0.1555,0.0,0.2755,0.0026,35,0.267
task_count_selection,combined_stress,6,0.4167,0.0262,0.2375,0.003,0.1696,0.0212,0.1732,0.0155,0.223,0.001,0.1555,0.0,0.278,0.0025,35,0.2412
embodiment_count_selection,nominal,0,0.5582,0.0263,0.3082,0.0033,0.1036,0.0105,0.1157,0.0084,0.2008,0.0012,0.148,0.0,0.334,0.0026,35,0.2024
embodiment_count_selection,nominal,1,0.549,0.0217,0.3107,0.0035,0.1034,0.0106,0.1158,0.009,0.2001,0.0013,0.148,0.0,0.3386,0.0022,35,0.2061
embodiment_count_selection,nominal,2,0.5429,0.0175,0.3072,0.0034,0.1021,0.0105,0.1148,0.009,0.1999,0.0014,0.148,0.0,0.338,0.0023,35,0.1952
embodiment_count_selection,nominal,3,0.5463,0.0208,0.3111,0.0034,0.1021,0.0107,0.116,0.0087,0.2,0.0012,0.148,0.0,0.3358,0.0029,35,0.2078
embodiment_count_selection,nominal,4,0.5415,0.0203,0.3102,0.0033,0.1036,0.0109,0.1146,0.0087,0.1993,0.0013,0.148,0.0,0.3374,0.0025,35,0.1986
embodiment_count_selection,nominal,5,0.5197,0.0237,0.3105,0.0034,0.1047,0.0105,0.1163,0.0086,0.2004,0.0013,0.148,0.0,0.3383,0.0025,35,0.2303
embodiment_count_selection,nominal,6,0.5391,0.0206,0.3101,0.003,0.1034,0.0109,0.1154,0.0087,0.2,0.0016,0.148,0.0,0.3394,0.0027,35,0.2024
embodiment_count_selection,seen_task_shift,0,0.501,0.0227,0.304,0.0036,0.1193,0.0131,0.1335,0.011,0.207,0.0012,0.1563,0.0,0.326,0.0026,35,0.2129
embodiment_count_selection,seen_task_shift,1,0.4956,0.0223,0.3007,0.0036,0.1176,0.0129,0.1361,0.0111,0.2071,0.0014,0.1563,0.0,0.327,0.0029,35,0.2293
embodiment_count_selection,seen_task_shift,2,0.5071,0.0225,0.2976,0.0031,0.1187,0.0129,0.1348,0.0114,0.2057,0.001,0.1563,0.0,0.3255,0.0026,35,0.2228
embodiment_count_selection,seen_task_shift,3,0.5031,0.0218,0.2982,0.0038,0.119,0.0129,0.1347,0.011,0.2055,0.0013,0.1563,0.0,0.3269,0.0026,35,0.2102
embodiment_count_selection,seen_task_shift,4,0.5003,0.0248,0.2973,0.003,0.1185,0.0129,0.1341,0.0111,0.2057,0.0014,0.1563,0.0,0.3281,0.003,35,0.2133
embodiment_count_selection,seen_task_shift,5,0.5034,0.0222,0.2984,0.0031,0.1191,0.0139,0.1336,0.0113,0.206,0.0013,0.1563,0.0,0.3293,0.0023,35,0.2163
embodiment_count_selection,seen_task_shift,6,0.5071,0.0243,0.2973,0.0036,0.1193,0.0134,0.134,0.0114,0.2079,0.0013,0.1563,0.0,0.3268,0.0023,35,0.2102
embodiment_count_selection,unseen_object_shift,0,0.484,0.0248,0.2934,0.0028,0.1329,0.0151,0.1405,0.0114,0.2105,0.0017,0.1615,0.0,0.318,0.0025,35,0.2327
embodiment_count_selection,unseen_object_shift,1,0.4816,0.0232,0.2897,0.0033,0.1328,0.0155,0.143,0.012,0.21,0.0011,0.1615,0.0,0.3207,0.0028,35,0.2282
embodiment_count_selection,unseen_object_shift,2,0.4905,0.0257,0.2904,0.0029,0.1324,0.0153,0.1414,0.0118,0.2114,0.0013,0.1615,0.0,0.3204,0.0024,35,0.185
embodiment_count_selection,unseen_object_shift,3,0.4755,0.0223,0.2905,0.0031,0.1319,0.0159,0.1422,0.0121,0.2103,0.0013,0.1615,0.0,0.3181,0.0023,35,0.2272
embodiment_count_selection,unseen_object_shift,4,0.4864,0.0231,0.2923,0.0031,0.1313,0.016,0.1414,0.0121,0.2103,0.001,0.1615,0.0,0.3203,0.0024,35,0.2221
embodiment_count_selection,unseen_object_shift,5,0.4762,0.0229,0.2927,0.0028,0.1323,0.016,0.1427,0.0125,0.2111,0.0014,0.1615,0.0,0.3215,0.003,35,0.2255
embodiment_count_selection,unseen_object_shift,6,0.4912,0.0259,0.2899,0.0037,0.132,0.0161,0.1407,0.0116,0.2112,0.0012,0.1615,0.0,0.3206,0.0026,35,0.1895
embodiment_count_selection,unseen_mechanism_shift,0,0.4599,0.0299,0.2685,0.0032,0.1544,0.0184,0.1502,0.0132,0.2133,0.0012,0.1653,0.0,0.3143,0.0023,35,0.2456
embodiment_count_selection,unseen_mechanism_shift,1,0.4459,0.0253,0.2688,0.0032,0.1547,0.0182,0.1499,0.0131,0.2144,0.0015,0.1653,0.0,0.3167,0.0026,35,0.2524
embodiment_count_selection,unseen_mechanism_shift,2,0.4575,0.0201,0.2647,0.0037,0.155,0.0185,0.1505,0.013,0.2145,0.0016,0.1653,0.0,0.3136,0.0025,35,0.2197
embodiment_count_selection,unseen_mechanism_shift,3,0.469,0.0249,0.2654,0.0038,0.1533,0.0173,0.1502,0.0129,0.2143,0.0014,0.1653,0.0,0.314,0.0025,35,0.2099
embodiment_count_selection,unseen_mechanism_shift,4,0.4534,0.0246,0.2676,0.0035,0.1552,0.0184,0.1506,0.0135,0.2134,0.0012,0.1653,0.0,0.3143,0.0026,35,0.2442
embodiment_count_selection,unseen_mechanism_shift,5,0.4684,0.0233,0.2669,0.003,0.1555,0.0189,0.1514,0.013,0.2124,0.0014,0.1653,0.0,0.3148,0.0025,35,0.2095
embodiment_count_selection,unseen_mechanism_shift,6,0.4476,0.0295,0.2709,0.0033,0.1555,0.0186,0.1518,0.0132,0.2128,0.0012,0.1653,0.0,0.3152,0.0022,35,0.2371
embodiment_count_selection,combined_stress,0,0.435,0.0252,0.2639,0.003,0.1604,0.0201,0.165,0.0155,0.2191,0.0011,0.1723,0.0,0.3069,0.0027,35,0.2184
embodiment_count_selection,combined_stress,1,0.4228,0.0264,0.2696,0.0035,0.1606,0.0196,0.1651,0.015,0.2176,0.0011,0.1723,0.0,0.3075,0.0027,35,0.2459
embodiment_count_selection,combined_stress,2,0.4344,0.0274,0.2664,0.0033,0.1617,0.0202,0.1659,0.0147,0.2192,0.001,0.1723,0.0,0.3064,0.0024,35,0.2262
embodiment_count_selection,combined_stress,3,0.4031,0.0258,0.2681,0.003,0.1626,0.02,0.167,0.0151,0.2192,0.001,0.1723,0.0,0.3084,0.0027,35,0.2714
embodiment_count_selection,combined_stress,4,0.4398,0.0273,0.2661,0.0035,0.1614,0.0198,0.1659,0.0151,0.2184,0.0014,0.1723,0.0,0.3076,0.0023,35,0.2299
embodiment_count_selection,combined_stress,5,0.4303,0.0238,0.2648,0.0028,0.1609,0.0201,0.1662,0.015,0.2183,0.0015,0.1723,0.0,0.3067,0.0024,35,0.2429
